grid_size, width, height, distance, link_length, linkable_length, max_links, run_count
2.5,       1000,  1000,   60,       28,          16,              1,         100
2.5,       1000,  1000,   60,       28,          16,              2,         100
2.5,       1000,  1000,   60,       28,          16,              3,         100
2.5,       1000,  1000,   60,       28,          16,              4,         100
2.5,       1000,  1000,   60,       28,          16,              5,         100
2.5,       1000,  1000,   60,       28,          16,              6,         100
30,        1000,  1000,   60,       28,          16,              1,         100
30,        1000,  1000,   60,       28,          16,              2,         100
30,        1000,  1000,   60,       28,          16,              3,         100
30,        1000,  1000,   60,       28,          16,              4,         100
30,        1000,  1000,   60,       28,          16,              5,         100
30,        1000,  1000,   60,       28,          16,              6,         100
