grid_size, width, height, distance, figure_size
2.5, 					 40,    40,     5,        5
2.5,       400,   400,    60,       5
2.5, 					 1000,  1000,   60,       5
2.5, 					 1000,  1000,   100,      5
2.5, 					 1000,  1000,   60,       5
2.5, 					 1000,  1000,   120,      5
2.5, 					 1000,  1000,   180,      5
2.5, 					 1000,  1000,   240,      5
2.5, 					 1000,  1000,   300,      5
2.5, 					 1000,  1000,   360,      5
2.5, 					 1000,  1000,   420,      5
2.5, 					 1000,  1000,   480,      5
2.5, 					 1000,  1000,   540,      5
2.5, 					 1000,  1000,   600,      5
30, 					  2000,  2000,   60,       5
50, 					  1000,  1000,   100,      5
